Designation,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Is Potentially Hazardous,Relative Velocity (km/s),Relative Velocity (km/h),Miss Distance (km),Miss Distance (miles),Orbiting Body,Cluster,Object Type,pca_1,pca_2,pca_3
433,10.41,22.0067027115,49.2084832235,0,5.7322434825,20636.0765370681,45321201.77971558,28161288.929595698,0,2,Asteroid,5.332168935344061,-1.8022862645439237,0.02275534276605587
433,10.41,22.0067027115,49.2084832235,0,4.2454176851,15283.5036662481,69522351.6164946,43199186.12161161,0,2,Asteroid,5.673270386200029,-1.0353096651530784,0.11562134274395451
433,10.41,22.0067027115,49.2084832235,0,4.2258643769,15213.1117567663,55547189.16380228,34515422.84496234,0,2,Asteroid,5.545327377709413,-1.4447397729255704,-0.06526490667867467
433,10.41,22.0067027115,49.2084832235,0,5.9749136221,21509.6890394877,27296208.42824665,16961077.421701662,0,2,Asteroid,5.146091139657476,-2.3405739272416604,-0.17172668446564338
433,10.41,22.0067027115,49.2084832235,0,6.0149196633,21653.7107877231,30499881.715479724,18951747.693781205,0,2,Asteroid,5.172628392329705,-2.248069827625135,-0.12511211062545288
433,10.41,22.0067027115,49.2084832235,0,3.8530305141,13870.9098509079,58685936.04794856,36465749.72091189,0,2,Asteroid,5.603715902171475,-1.33840726697676,-0.07930669354537627
433,10.41,22.0067027115,49.2084832235,0,3.7537243254,13513.4075714592,67274586.66783549,41802489.74818626,0,2,Asteroid,5.691096198468437,-1.0825430050889948,0.015726695162012062
433,10.41,22.0067027115,49.2084832235,0,6.0381849282,21737.4657416866,41612827.54050079,25857012.028087355,0,2,Asteroid,5.273761132920595,-1.92278812717924,0.01984559695983259
433,10.41,22.0067027115,49.2084832235,0,5.8142759703,20931.393493074,22359243.131520975,13893389.436898377,0,2,Asteroid,5.112977609411826,-2.479353208951836,-0.2579065633943728
433,10.41,22.0067027115,49.2084832235,0,5.7943538473,20859.6738502169,44367795.07656291,27568869.47511176,0,2,Asteroid,5.318453193174159,-1.832636173993637,0.019609421570610703
433,10.41,22.0067027115,49.2084832235,0,4.1745035914,15028.2129289863,68956354.02934481,42847491.52925169,0,2,Asteroid,5.673600876934015,-1.0492192142407695,0.09813323039879049
433,10.41,22.0067027115,49.2084832235,0,4.026253601,14494.512963503,56463283.98900784,35084657.773570694,0,2,Asteroid,5.569506155936074,-1.4102446089262684,-0.08252105484889213
433,10.41,22.0067027115,49.2084832235,0,6.0055431713,21619.9554168322,28184278.979746602,17512898.874102976,0,2,Asteroid,5.1519113757058514,-2.315676126502333,-0.15597323022946652
433,10.41,22.0067027115,49.2084832235,0,5.9898389294,21563.4201458554,29621995.78696937,18406254.67265237,0,2,Asteroid,5.1664663316867605,-2.2728801811403394,-0.13993166654308692
433,10.41,22.0067027115,49.2084832235,0,3.9833820614,14340.1754211404,57941309.16439319,36003060.0306766,0,2,Asteroid,5.586570155946153,-1.365230209604568,-0.06990304755068981
719,15.59,2.0256060086,4.529392731,0,3.4460290151,12405.7044543097,255628975.88870153,158840480.08630615,1,0,Other,2.7060267340863793,6.802256421348512,0.4078571188598351
719,15.59,2.0256060086,4.529392731,0,7.1848430308,25865.4349107149,30739631.151486345,19100721.08532776,0,0,Other,0.32852053740518083,0.05919254640403624,-1.9155453611458164
719,15.59,2.0256060086,4.529392731,0,7.3096055098,26314.5798352299,30767547.759604916,19118067.66124123,0,0,Other,0.3189717665655213,0.055257001599684274,-1.8971089869555458
719,15.59,2.0256060086,4.529392731,0,3.2634606265,11748.4582554323,211999593.1458578,131730438.75922357,1,0,Other,2.3161513804130758,5.528678602255867,-0.17446728732695135
719,15.59,2.0256060086,4.529392731,0,7.6655658653,27596.0371152368,47085964.48368307,29257861.625089537,0,0,Other,0.4421805306660599,0.5206413102629468,-1.6376157364762824
719,15.59,2.0256060086,4.529392731,0,7.6532216086,27551.5977911354,42582881.24031068,26459775.446638104,0,0,Other,0.40142976975947386,0.3889448920484274,-1.6967768571075146
719,15.59,2.0256060086,4.529392731,0,3.7241284848,13406.8625452769,222392006.90369737,138187985.22793645,1,0,Other,2.37622472433626,5.816142323654332,0.02469918307716539
719,15.59,2.0256060086,4.529392731,0,13.0394477911,46942.0120478077,63678315.77663409,39567870.637058794,0,0,Other,0.17347491812734608,0.8028243354883119,-0.6474303559116722
719,15.59,2.0256060086,4.529392731,0,5.0048427673,18017.4339623463,293085928.07566476,182115150.91445783,1,0,Other,2.930529550879407,7.842220502268837,1.1109875904340452
719,15.59,2.0256060086,4.529392731,0,3.4163448465,12298.8414475462,233945031.3203244,145366701.7189215,1,0,Other,2.507458129065942,6.166957291129084,0.1272878492585311
719,15.59,2.0256060086,4.529392731,0,7.5222545496,27080.1163785251,31933101.431212846,19842309.12925528,0,0,Other,0.31305456857762326,0.0813619513716457,-1.8514417792596403
719,15.59,2.0256060086,4.529392731,0,7.8186889132,28147.2800874542,38425895.242266655,23876744.12420753,0,0,Other,0.34990806554438303,0.260629839741548,-1.7257598533266056
719,15.59,2.0256060086,4.529392731,0,3.4670013619,12481.2049027845,207934257.05616677,129204356.04910128,1,0,Other,2.2624859102320656,5.4016024611001,-0.1967649664525543
719,15.59,2.0256060086,4.529392731,0,8.6062205832,30982.3940994637,55016469.31252208,34185648.8212015,0,0,Other,0.4417131031673082,0.7175541487510609,-1.4002554124808482
719,15.59,2.0256060086,4.529392731,0,4.2458309082,15284.991269407,246002794.58207357,152859048.38504103,1,0,Other,2.5539686323262076,6.489243256831245,0.4011214335804808
719,15.59,2.0256060086,4.529392731,0,3.752796571,13510.0676557181,272693358.8610249,169443795.98301643,1,0,Other,2.840013868494133,7.291409888378578,0.6697253916018823
719,15.59,2.0256060086,4.529392731,0,8.3173750452,29942.5501628245,32922264.56845932,20456946.60162192,0,0,Other,0.2597157752059148,0.08009082753943027,-1.723609576081452
887,13.88,4.4519981645,9.9549705315,0,6.8047888406,24497.2398263378,47952504.3562205,29796304.533954848,0,0,Other,1.3808344332205738,0.13738069939831107,-1.4009993755998704
887,13.88,4.4519981645,9.9549705315,0,6.1066272577,21983.8581276746,31612395.82131405,19643031.90387189,0,0,Other,1.2843246941515571,-0.31559841194730454,-1.7103611252040383
